entityid,entityname,principaladdress1,principaladdress2,principalcity,principalstate,principalzipcode,principalcountry,mailingaddress1,mailingaddress2,mailingcity,mailingstate,mailingzipcode,mailingcountry,entitystatus,jurisdictonofformation,entitytype,agentfirstname,agentmiddlename,agentlastname,agentsuffix,agentorganizationname,agentprincipaladdress1,agentprincipaladdress2,agentprincipalcity,agentprincipalstate,agentprincipalzipcode,agentprincipalcountry,agentmailingaddress1,agentmailingaddress2,agentmailingcity,agentmailingstate,agentmailingzipcode,agentmailingcountry,entityformdate
19871037252,DAIRYLAND INSURANCE COMPANY,1800 N Point Dr,,Stevens Point,WI,54481,US,,,,,,,Good Standing,WI,FPC,,,,,C T Corporation System,7700 E Arapahoe Rd Ste 220,,Centennial,CO,80112,US,,,,,,,11/05/1965
19871048891,"DFA DAIRY FINANCING SERVICES, INC, Colorado Authority Terminated February 15, 2001",5840 WEST 1-20 STE 120,,ARLINGTON,TX,76006,US,,,,,,,Withdrawn,OK,FPC,,,,,The Corporation Company,7700 E Arapahoe Rd Ste 220,,Centennial,CO,80112-1268,US,,,,,,,08/23/1971
19871144417,"ROCKY MOUNTAIN DAIRY PRODUCTS CO., Dissolved June 1, 2004",,,,,,,,,,,,,Administratively Dissolved,CO,DPC,,,,,,,,,,,,,,,,,,08/04/1959
19871145887,"KARL'S FARMS DAIRY, INC., Dissolved November 26, 2013",1621 E. 120 th ave,,Northglenn,CO,80233,US,1621 E.120th ave,,Northglenn,CO,80233,US,Voluntarily Dissolved,CO,DPC,KAREN,,SWAITHES,,,1621 e 120th ave,,Northglenn,CO,80233,US,1621 e 120 th ave,,Northglenn,CO,80233,US,12/11/1959
19871158623,WILLETT DAIRY FARM & CATTLE CO.,20789 County Road 28,,Sanford,CO,81151,US,20785 County Road 28,,Sanford,CO,81151,US,Good Standing,CO,DPC,Marilyn,L,Willett,,,20785 County Road 28,,Sanford,CO,81151,US,20785 County Road 28,Cross Arrow Ranch,Sanford,CO,81151,US,02/19/1962
19871160004,"TWO BAR C DAIRY INC, Delinquent May 1, 2018",15300 E 144TH AVE,,BRIGHTON,CO,80601,US,,,,,,,Delinquent,CO,DPC,STEVE,Leroy,GASKINS,,,15300 E 144TH AVE,,BRIGHTON,CO,80601,US,,,,,,,05/09/1962
19871176374,"ROYAL CREST DAIRY, INC.",350 S. Pearl St.,,Denver,CO,80209,US,,,,,,,Good Standing,CO,DPC,Dana,L.,Eismeier,,,6400 S Fiddlers Green Cir Ste 1000,,Greenwood Village,CO,80111,US,,,,,,,11/05/1964
19871202577,"MESA COUNTY DAIRY HERD IMPROVEMENT ASSOCIATION, INC., Dissolved May 1, 1995",,,,,,,,,,,,,Administratively Dissolved,CO,DNC,,,,,,,,,,,,,,,,,,07/29/1968
19871209473,"MAXWELL DAIRY FARM, INC., Dissolved February 12, 2013",5117 NW  FRONTAGE ROAD,,FORT COLLINS,CO,80524,US,1310 VERMONT AVE,,ETOWAH,TN,37331,,Voluntarily Dissolved,CO,DPC,LARRY,,MAXWELL,,,5117 NW FRONTAGE ROAD,,FORT COLLINS,CO,80524,US,,,,,,,06/05/1969
19871213093,"HYGIENE DAIRY COMPANY, Delinquent April 1, 2007",6295 MISTY WY,,LONGMONT,CO,80503-8895,US,,,,,,,Delinquent,CO,DPC,N.,FAY,RUCKER,,,6295 MISTY WY,,LONGMONT,CO,80503-8895,US,,,,,,,10/15/1969
19871224570,"NICHOLS DAIRY, INC., Delinquent May 1, 2013",1536 WILLOW ST,,CANON CITY,CO,81212,US,,,,,,,Delinquent,CO,DPC,,,,,NICHOLS DAIRY,1536 WILLOW ST,,CANON CITY,CO,81212,US,,,,,,,12/01/1970
19871233153,"WESTERN DAIRY COUNCIL, INC., Dissolved December 28, 2012",12000 WASHINGTON STE 175,,THORNTON,CO,80241,US,,,,,,,Voluntarily Dissolved,CO,DNC,CYNTHIA,S,HAREN,,,12000 WASHINGTON,STE 175,THORNTON,CO,80241,US,,,,,,,01/17/1936
19871242588,Western Dairy Association,2214 Paddock Way Dr Ste 600,,Grand Prairie,TX,75050,US,,,,,,,Good Standing,CO,DNC,,,,,"InCorp Services, Inc.","36 South 18th Avenue, Suite D",,Brighton,CO,80601,US,,,,,,,05/22/1972
19871252676,"HERMIT HAVEN DAIRY, INC.",18453 CR 37,,HOLYOKE,CO,80734,US,P. O. Box 265,,Holyoke,CO,80734,US,Good Standing,CO,DPC,RICHARD,,NEWTON,,,18453 CR 37,,HOLYOKE,CO,80734,US,PO Box 265,,Holyoke,CO,80734,US,01/08/1973
19871254197,"E. & J. DAIRY, INC., Dissolved December 1, 1999",,,,,,,,,,,,,Administratively Dissolved,CO,DPC,,,,,,,,,,,,,,,,,,02/20/1973
19871281946,"LOWELL-PAUL DAIRY, INC., Delinquent February 1, 2014",1121 47th Avenue,,GREELEY,CO,80634,US,,,,,,,Delinquent,CO,DPC,James,,Fuller,,,1630 25th Avenue,,Greeley,CO,80634,US,,,,,,,01/10/1975
19871306387,"CENTRAL COLORADO DAIRY HERD IMPROVEMENT CORPORATION, Dissolved July 7, 2009",122 1st St.,,EATON,CO,80615,US,122 1st St,,Eaton,CO,80615,US,Voluntarily Dissolved,CO,DNC,BILL,,WAILES,,,122 1st ST.,,Eaton,CO,80615,US,,,,,,,06/17/1976
19871311235,"BURLINGTON DAIRY QUEEN, INC., Dissolved August 28, 2001",,,,,,,,,,,,,Voluntarily Dissolved,CO,DPC,,,,,,,,,,,,,,,,,,09/30/1976
19871320064,CORSENTINO DAIRY FARMS INC.,2689 State Highway 10,,Walsenburg,CO,81089,US,,,,,,,Good Standing,CO,DPC,Brett,J,CORSENTINO,,,2689 State Highway 10,,Walsenburg,CO,81089,US,2689 State Highway 10,,Walsenburg,CO,81089,US,03/21/1977
19871345224,"DAIRY DELITE ENTERPRISES, INCORPORATED",3080 W. EISENHOWER BLVD.,,LOVELAND,CO,80537,US,,,,,,US,Good Standing,CO,DPC,MICHAEL,R.,EMBKE,,,3080 W. EISENHOWER BLVD.,,LOVELAND,CO,80537,US,3080 W. Eisenhower Blvd,,Loveland,CO,80537,US,04/12/1978
19871360686,"G W DAIRY CO., Dissolved October 1, 1999",,,,,,,,,,,,,Administratively Dissolved,CO,DPC,,,,,,,,,,,,,,,,,,12/07/1978
19871361690,"DOVE MEADOW DAIRY, INC.",10571 County Road 37,,Fort Lupton,CO,80621,US,,,,,,,Good Standing,CO,DPC,DENNIS,,COOK,,,10571 County Road 37,,Fort Lupton,CO,80621,US,,,,,,,12/28/1978
